Nombre,Marca,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Batería,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua
secadora,Samsung,5424166,39001.84497670408,135482.45631779262,2006,,,,,,,
audifonos,Bose,1678425,5294.763068867706,87.46935864246703,2008,,,,4G,,,
cpu,Qualcomm,2509945,4630.273096632775,13640.549710229026,2012,,,,,,,
camara,Panasonic,8451571,43772.380867584914,2898.207647723221,2004,,1080p,,,,,
tablet,Apple,7860460,7843.93755221151,323.4163474742854,2010,4158.0,,LCD,4G,16GB,,
smart watch,Fitbit,8873275,19476.311563260184,78.54099757299083,2008,8541.0,,LED,5G,,,IP68
cpu,Qualcomm,3954233,30684.880573241444,17841.86328156886,2016,,,,,,,
celular,Xiaomi,1278017,22113.396666315388,363.4028784007537,2010,,,,,,1TB,IP68
tablet,Samsung,7366923,16210.263571534893,500.76568638965796,2013,,,,Bluetooth,16GB,64GB,
nevera,Whirlpool,3847859,31711.156987362174,165724.9534256823,2014,,,,,,,
televisores,LG,5497656,5338.394830879887,102327.74374867805,2021,,1080p,OLED,,,,
celular,Apple,2660173,38411.4070303494,306.6151124829878,2015,,,,NFC,32GB,256GB,None
lavadora,Whirlpool,5320602,8475.008527600103,147515.5077514035,2009,,,,,,,
celular,Xiaomi,3083611,3376.0692678753853,289.3115619618736,2020,,,,,32GB,512GB,IP68
monitor,HP,2389446,36749.92683638384,5072.6144382022185,2016,,8K,OLED,,,,
nevera,LG,9330655,28343.367569488615,236907.1655053445,2005,,,,,,,
cargador,Belkin,8302340,8747.519158348243,108.79058877390639,2002,,,,,,,
cargador,Apple,7186381,25612.261906315434,60.99012740008289,2022,,,,,,,
secadora,Bosch,4609080,11821.218099368978,115683.74382572107,2006,,,,,,,
televisores,LG,1555467,14342.12027517331,187306.8059564686,2022,,4K,LCD,,,,
parlante,JBL,8887359,40971.35710095684,3951.9396071974284,2009,,,,WiFi,,,
cpu,AMD,214313,47162.945411614906,10787.496721422911,2011,,,,,,,
nevera,Whirlpool,7569106,41317.70094407783,189102.53184282375,2006,,,,,,,
secadora,LG,5215675,41044.85775971636,118782.41593133859,2020,,,,,,,
cpu,Qualcomm,8654645,16513.69046478747,9344.251604443423,2014,,,,,,,
camara,Sony,6665863,46407.85175501085,3908.500730479207,2014,,4K,,,,,
laptop,HP,9542162,46694.93375567346,7270.369661726241,2015,,,OLED,,32GB,512GB,
teclado,Corsair,7719300,48503.445240704146,1292.277855103656,2011,,,,,,,
teclado,Corsair,8801689,6481.345430110443,533.1155802461494,2001,,,,,,,
televisores,Sony,6579991,4661.737678279231,130170.06967940995,2021,,8K,LED,,,,
camara,Canon,5443449,47192.47236678191,3219.669553152408,2009,,8K,,,,,
laptop,HP,9316352,33374.382082051634,2615.1496931592683,2008,,,LCD,,4GB,64GB,
teclado,Corsair,1007092,35313.948326074045,1925.4368937103939,2004,,,,,,,
televisores,TCL,3040309,6470.584054216054,120948.08429936333,2012,,4K,OLED,,,,
smart watch,Garmin,4308573,28510.03345643701,61.13836372056196,2017,5090.0,,,,,,IP68
camara,Canon,6633137,36927.28443292569,4519.994487516235,2015,,1080p,,,,,
televisores,Samsung,7571489,45619.5208290723,150038.86817280756,2006,,1080p,LCD,,,,
monitor,Samsung,3278099,40042.34383589805,14786.626619134098,2020,,8K,OLED,,,,
parlante,Bose,4516350,40647.225126049256,1841.7754564772922,2009,,,,4G,,,
smart watch,Fitbit,2293724,32641.95617848138,164.98089677208168,2014,2471.0,,OLED,5G,,,None
celular,Samsung,8020588,28096.434953254167,318.74640306691856,2007,4263.0,,,NFC,32GB,,
tablet,Apple,9283999,4467.651491063326,364.54049923651496,2019,,,,WiFi,8GB,512GB,
audifonos,Sennheiser,2301240,25436.064893773564,279.5752811586003,2014,,,,WiFi,,,
nevera,GE,6844222,17180.827486673497,227374.95318038278,2011,,,,,,,
lavadora,Whirlpool,2022275,20748.97910029769,135091.64311264275,2001,,,,,,,
secadora,Whirlpool,7246813,22781.174554882506,148289.4606529829,2000,,,,,,,
televisores,Samsung,6117994,6146.270843519709,142243.99902384845,2017,,1080p,LCD,,,,
camara,Nikon,1257837,25887.03129261482,2344.36145930321,2022,,1080p,,,,,
lavadora,Whirlpool,5682503,7595.907563076904,133784.4512196916,2015,,,,,,,
teclado,Logitech,9073153,5605.196090325531,2924.7466339978305,2015,,,,,,,
tablet,Apple,7295545,18333.74220597888,471.63397212980317,2021,,,,Bluetooth,4GB,512GB,
secadora,LG,6783907,27243.834188064728,129046.48132142647,2007,,,,,,,
parlante,Sony,6503703,21808.5415800141,1921.097724253621,2009,,,,,,,
celular,Samsung,5413584,7341.517714817163,276.04295652729206,2007,7752.0,,,,,512GB,
secadora,Samsung,9309355,16061.894030931193,148753.73225309525,2023,,,,,,,
tablet,Amazon,2782318,41901.83149102621,337.3341438481568,2008,,,OLED,,32GB,512GB,
cpu,AMD,4292143,49190.99399012098,15147.93236183286,2018,,,,,,,
tablet,Amazon,5022618,26630.169264817985,630.8005976333236,2018,6445.0,,OLED,,,512GB,
cargador,Anker,8642691,28279.49936658236,117.47408977153032,2012,,,,,,,
nevera,LG,3045942,21759.477536456485,204537.04149925068,2019,,,,,,,
laptop,Dell,2038966,19766.97130300231,2406.501116040494,2022,4942.0,,,5G,8GB,,
teclado,Microsoft,4756246,32112.506489576317,746.2685377372981,2005,,,,,,,
cargador,Samsung,7784370,1162.2148868331556,160.77238747702864,2023,,,,,,,
cargador,Samsung,3177960,10661.81074129926,137.1195870166266,2018,,,,,,,
lavadora,Whirlpool,6480761,806.5529566689985,131163.89489321035,2018,,,,,,,
cargador,Apple,2722894,21629.00363890739,160.6914936266445,2009,,,,,,,
celular,Apple,3097861,19063.93141694284,282.93030236688446,2006,,,,WiFi,8GB,,None
nevera,GE,5883852,4517.62014781243,254926.41886949987,2009,,,,,,,
lavadora,Bosch,1916565,37707.804192663745,134847.51896528088,2015,,,,,,,
secadora,Bosch,1207096,33028.46898522731,134669.86628690248,2014,,,,,,,
celular,Huawei,9278964,16841.647304235794,474.17872332180895,2007,4153.0,,,,32GB,128GB,IP68
mouse,Microsoft,1225696,45549.08558717379,412.59895700303287,2009,,,,,,,
mouse,Razer,9873303,3383.5379206545513,413.7711974364429,2009,,,,,,,
mouse,Logitech,8228883,49548.8843572875,418.37409135807343,2021,,,,,,,
secadora,Samsung,7112759,28261.43978769353,146373.16535934215,2010,,,,,,,
smart watch,Samsung,1980865,41747.89948090652,65.29411635675976,2004,3205.0,,,NFC,,,None
lavadora,Whirlpool,4952914,42385.5008151894,101224.28514726592,2022,,,,,,,
parlante,Bose,4139429,25367.51290534238,4864.332659716576,2012,,,,NFC,,,
camara,Canon,6252411,12467.243354804707,3030.481625561606,2006,,,,,,,
cargador,Anker,3700171,20526.377522701787,186.98489270436446,2017,,,,,,,
teclado,Corsair,1664823,13372.097970962814,1764.962590852939,2003,,,,,,,
celular,Xiaomi,9057081,32285.139291167747,482.08057554364666,2014,,,,5G,4GB,64GB,IP67
smart watch,Samsung,3402207,8275.605991225493,94.22288044621996,2016,2945.0,,OLED,5G,,,
nevera,Samsung,6868472,35924.83257343151,235768.59414175723,2013,,,,,,,
televisores,Sony,4038093,12501.041258452478,150580.58895402408,2023,,8K,OLED,,,,
monitor,Samsung,156441,10347.806217058887,15613.20686440624,2005,,,OLED,,,,
celular,Huawei,8230427,45117.77512052684,415.4898366205934,2020,,,,Bluetooth,8GB,64GB,IP68
mouse,HP,3670512,43123.505621930184,439.5306641628405,2003,,,,,,,
lavadora,Samsung,7280208,49809.58244394613,139379.0545231452,2016,,,,,,,
laptop,HP,3777016,17518.37355321832,5124.104237337437,2003,6459.0,,,NFC,4GB,128GB,
celular,Samsung,1097317,10275.981151199705,201.52232589012488,2022,,,,NFC,,128GB,IP67
lavadora,Whirlpool,3707362,5055.476510731085,129817.00758407239,2002,,,,,,,
audifonos,Bose,4007891,42253.33701458109,354.81885035309006,2006,,,,Bluetooth,,,
smart watch,Garmin,3191484,49800.82999470084,181.18389720906185,2000,,,LCD,WiFi,,,IP67
smart watch,Garmin,4454976,15625.687480655319,118.61632121778145,2005,,,OLED,Bluetooth,,,IP67
tablet,Amazon,5338343,28394.25137737744,567.617643327151,2016,,,LCD,4G,16GB,512GB,
parlante,LG,5425985,44017.800530874876,3662.226996783711,2003,,,,NFC,,,
monitor,LG,1375702,21840.11484506525,13754.212694949756,2001,,1080p,LCD,,,,
televisores,Sony,6379332,33174.03102348476,141899.80659628898,2000,,1080p,LED,,,,
secadora,Whirlpool,4426199,25667.129978002344,116828.90082175772,2001,,,,,,,
smart watch,Samsung,2263424,19713.911608615268,63.52087211775169,2009,5122.0,,OLED,WiFi,,,IP68
parlante,JBL,9024763,46725.44734625284,4142.243249363801,2002,,,,,,,
audifonos,Sennheiser,7471349,33220.471475659346,332.7330812790405,2020,,,,4G,,,
tablet,Samsung,3962953,48042.31324594894,307.9034719973041,2007,,,OLED,WiFi,32GB,64GB,
mouse,HP,4440232,5567.885287703778,127.05148030744864,2005,,,,,,,
mouse,HP,9627603,12374.237077487633,310.81820272140504,2011,,,,,,,
nevera,GE,846119,20531.309778132323,247215.55772831404,2006,,,,,,,
cargador,Samsung,2911456,6385.082394946764,184.151942469455,2023,,,,,,,
audifonos,Beats,1297629,24758.44013900649,72.259112123709,2023,,,,,,,
cargador,Samsung,7037924,23102.99696831096,118.07073680028982,2013,,,,,,,
smart watch,Samsung,9791997,45285.21624312265,111.22409756130253,2014,,,OLED,Bluetooth,,,
mouse,Logitech,8913799,42782.48903084066,142.98226794390652,2022,,,,,,,
nevera,GE,5147513,19887.544045579005,267890.1408045001,2002,,,,,,,
mouse,HP,8115528,22505.84179602606,390.44234695663096,2022,,,,,,,
mouse,Microsoft,7048835,37048.796281408955,495.9830013134471,2010,,,,,,,
televisores,TCL,5079058,5293.8814609577785,164883.7253196473,2001,,,LCD,,,,
nevera,Whirlpool,5260818,19441.924686452283,240139.2296731881,2010,,,,,,,
monitor,Samsung,4008940,47697.50752346092,8729.823501842982,2016,,,LCD,,,,
celular,Xiaomi,638006,10853.340044046801,397.9096814350378,2003,2819.0,,,,8GB,128GB,None
laptop,Apple,5627758,41498.05026896429,6771.21362746082,2008,,,LCD,,8GB,,
cargador,Apple,9129059,41121.15504541145,129.11164025333193,2014,,,,,,,
secadora,Whirlpool,1691089,32488.708164725333,127571.1204331671,2008,,,,,,,
cargador,Anker,340723,11643.916673547146,187.29436416468172,2002,,,,,,,
secadora,Whirlpool,7450845,24234.346191024375,138547.92968326973,2013,,,,,,,
cargador,Apple,5186005,38889.927500908096,67.19809044571466,2004,,,,,,,
camara,Canon,489197,11077.741051416848,1135.5808091246115,2019,,8K,,,,,
mouse,Microsoft,6191162,2284.8224786321516,288.3004204444551,2000,,,,,,,
cpu,Qualcomm,6285526,4749.792643048557,10016.126346872192,2008,,,,,,,
camara,Panasonic,8119589,31651.955604894076,3113.0719173825228,2014,,8K,,,,,
secadora,Samsung,3260369,41690.65829817512,113821.46695434938,2006,,,,,,,
tablet,Samsung,3046505,14940.072249561668,298.32936837984744,2023,8274.0,,,4G,4GB,128GB,
audifonos,Bose,4272865,46696.4037434899,390.43929536474565,2009,,,,Bluetooth,,,
secadora,Whirlpool,8670684,44641.23317740588,102385.63853236941,2000,,,,,,,
nevera,LG,5809973,29067.24867350733,217231.96994699418,2023,,,,,,,
lavadora,Samsung,3519957,41935.41886766254,127412.2466166765,2017,,,,,,,
parlante,JBL,9156632,49715.637765766936,2344.0614274192503,2017,,,,NFC,,,
teclado,Microsoft,7436092,25438.488226242414,1859.9150901556684,2006,,,,,,,
cargador,Anker,1194185,42814.410506461725,187.5712288594207,2004,,,,,,,
parlante,LG,1468900,40879.035469242976,1322.6940178103014,2022,,,,NFC,,,
cargador,Apple,8467267,34049.24983214768,193.34266399857552,2010,,,,,,,
camara,Nikon,8808528,9539.19847294727,3698.2123461309216,2009,,1080p,,,,,
celular,Apple,4897715,22080.366795425478,369.3095130103236,2017,1768.0,,,,8GB,1TB,IP67
secadora,Bosch,6957522,30956.10181231123,131833.47028523713,2016,,,,,,,
camara,Panasonic,5832837,577.6629816713282,2471.722783757691,2004,,,,,,,
audifonos,Beats,6837018,45133.840644158,258.6871507732125,2023,,,,4G,,,
cargador,Samsung,7654902,5628.896062832405,182.74659384388468,2005,,,,,,,
mouse,HP,2566175,5902.224530617305,335.28586890098643,2000,,,,,,,
cargador,Samsung,2401664,37037.46812669806,179.42291496528205,2003,,,,,,,
cpu,Qualcomm,539319,328.417055887352,13675.303983649816,2015,,,,,,,
parlante,Sony,9443197,12574.678700867522,3818.9672554904355,2002,,,,,,,
televisores,Samsung,2150723,38839.563605239986,57363.058721150286,2017,,4K,LCD,,,,
secadora,Whirlpool,2445491,18690.75008740957,113408.76938618363,2017,,,,,,,
nevera,Whirlpool,2079335,45178.30301051109,184228.95543563244,2015,,,,,,,
monitor,HP,9045676,28006.55901790366,18728.05368301143,2013,,1080p,LCD,,,,
parlante,Bose,79654,49669.68111960562,2147.168300517974,2022,,,,5G,,,
tablet,Apple,2875864,2553.613102707796,458.45333906320815,2009,,,,WiFi,4GB,256GB,
camara,Panasonic,6155401,25320.26120047343,3749.6248792830074,2010,,1080p,,,,,
